time,referenceVector[1],referenceVector[2],referenceVector[3],referenceVector[4],referenceVector[5],referenceVector[6],referenceVector[7],referenceVector[8],referenceVector[9],referenceVector[10],referenceVector[11],quadChassisTest17_1.body.r_0[1],quadChassisTest17_1.body.r_0[2],quadChassisTest17_1.body.r_0[3],quadChassisTest17_1.body.v_0[1],quadChassisTest17_1.body.v_0[2],quadChassisTest17_1.body.v_0[3],sensors1_1.AngleMea[1],sensors1_1.AngleMea[2],sensors1_1.AngleMea[3],quadChassisTest17_1.body.frame_b.R.w[1],quadChassisTest17_1.body.frame_b.R.w[2],quadChassisTest17_1.body.frame_b.R.w[3],"quadChassisTest17_1.body.frame_b.R.T[1,1]","quadChassisTest17_1.body.frame_b.R.T[1,2]","quadChassisTest17_1.body.frame_b.R.T[1,3]","quadChassisTest17_1.body.frame_b.R.T[2,1]","quadChassisTest17_1.body.frame_b.R.T[2,2]","quadChassisTest17_1.body.frame_b.R.T[2,3]","quadChassisTest17_1.body.frame_b.R.T[3,1]","quadChassisTest17_1.body.frame_b.R.T[3,2]","quadChassisTest17_1.body.frame_b.R.T[3,3]",motorCommand[1],motorCommand[2],motorCommand[3],motorCommand[4],speedSensor[1].w,speedSensor[2].w,speedSensor[3].w,speedSensor[4].w,controllerDiagnostics[1],controllerDiagnostics[2],controllerDiagnostics[3],controllerDiagnostics[4],controllerDiagnostics[5],controllerDiagnostics[6],controllerDiagnostics[7],controllerDiagnostics[8],controllerDiagnostics[9],controllerDiagnostics[10],controllerDiagnostics[11],controllerDiagnostics[12]
0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14.71701389582819,-14.71701389582819,14.71701389582819,-14.71701389582819,0.0,0.0,0.0,0.0,0.0,0.0,1.7327239840800002,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.8431530416255937e-16,1.7621273599529196e-16,1.6197004924571503e-06,2.4964984213256524e-14,1.855276999976003e-14,0.0001787348299802797,8.570925101244205e-16,-7.999477408243153e-15,9.10527539499744e-13,3.1796705525027026e-14,-1.317016761191508e-13,2.0516185972720326e-10,1.0,9.10527539499744e-13,7.999477408243933e-15,-9.10527539499744e-13,1.0,8.570925101171367e-16,-7.999477408243153e-15,-8.570925101244205e-16,1.0,14.722910992010185,-14.722910992010178,14.72291099201026,-14.722910992010267,5.410714257039857,-5.410714257039814,5.410714257039895,-5.410714257039836,-1.2363414741978455e-14,-9.170151182145615e-15,1.7341128646292434,-3.77871021135719e-17,4.064143068021471e-16,0.0,1.4610651968463803e-18,0.0,0.002998380299507543,4.515592351395233e-15,0.0,0.0
0.02,0.0,0.0,0.006,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,5.321143479689324e-16,3.505664719074988e-16,3.784663999229787e-06,2.629319494267402e-14,1.6058700768731864e-14,0.0002649720059135389,-4.9863637156719045e-15,-1.0580752717518256e-14,2.2992445459933823e-12,-1.1287352446284884e-12,3.1491031410152067e-13,8.946682485768934e-11,1.0,2.2992445459933823e-12,1.0580752717506792e-14,-2.2992445459933823e-12,1.0,-4.986363715696233e-15,-1.0580752717518256e-14,4.9863637156719045e-15,1.0,14.728977500309094,-14.728977500309796,14.728977500309615,-14.728977500308913,11.767950351375882,-11.767950351375859,11.767950351375896,-11.767950351375905,-1.3138867334659434e-14,-8.037564615865445e-15,1.7355422256369537,3.5112334738613974e-15,-9.055972443786313e-16,0.0,1.3400921443577429e-18,0.0,0.005996215336000771,1.0077622429298376e-14,0.0,0.0
0.03,0.0,0.0,0.009,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,7.915385831768014e-16,5.501757107944565e-16,4.068358491412448e-05,2.5933159028812828e-14,2.2653612434875812e-14,0.014675264029136168,-3.670632785964405e-14,-2.0016215130772924e-14,3.811385718714564e-12,-4.310443806207624e-12,-1.4955298115967051e-12,2.106755820513501e-10,1.0,3.811385718714565e-12,2.0016215130633024e-14,-3.811385718714565e-12,1.0,-3.6706327859720337e-14,-2.0016215130772924e-14,3.670632785964405e-14,1.0,14.708180160749151,-14.708180160751853,14.708180160752786,-14.708180160750082,16.264355635201916,-16.26435563520286,16.264355635202623,-16.26435563520161,-1.309385361087376e-14,-1.1366535874717267e-14,1.730644509128867,1.349389514726865e-14,4.648443754400035e-15,0.0,3.3362223093275427e-18,0.0,0.008959316415085876,4.502956093910121e-14,0.0,0.0
0.04,0.0,0.0,0.012,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0290081737801269e-15,9.298541406868564e-16,0.00028804303007080157,1.819367388425196e-14,5.883477806517995e-14,0.0315950740248677,-7.442603886666738e-14,-2.628274749423801e-14,6.632220278861031e-12,-3.0400613374033796e-12,6.38532426376691e-13,3.8221236609989814e-10,1.0,6.632220278861032e-12,2.6282747493744396e-14,-6.632220278861031e-12,1.0,-7.442603886684168e-14,-2.628274749423801e-14,7.442603886666738e-14,1.0,14.682209804698944,-14.682209804701014,14.682209804700683,-14.682209804698614,15.0256933310752,-15.025693331078404,15.025693331079625,-15.025693331076408,-9.42571614266872e-15,-2.9268168825386313e-14,1.7245382779937868,1.030835327938821e-14,-1.6449749628047733e-15,0.0,6.737685566284635e-18,0.0,0.011711956969929199,9.373835692780802e-14,0.0,0.0
0.05,0.0,0.0,0.015000000000000003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.2159713765545337e-15,1.6914513514939381e-15,0.000659381402340505,2.386098705677232e-14,9.075846020417585e-14,0.04173148245360957,-9.861994942767654e-14,-2.0819622620344134e-14,1.0419177755950044e-11,-1.6346733589256904e-12,2.725816159396009e-13,3.489377689965231e-10,1.0,1.0419177755950046e-11,2.0819622619316596e-14,-1.0419177755950043e-11,1.0,-9.861994942789346e-14,-2.0819622620344134e-14,9.861994942767654e-14,1.0,14.66867243316784,-14.668672433169153,14.668672433169025,-14.668672433167712,14.725870666625955,-14.725870666628012,14.725870666627445,-14.725870666625392,-1.229425953412609e-14,-4.5279060175914804e-14,1.721359607612764,6.52803456861895e-15,-6.399380890631973e-16,0.0,4.5999719825180265e-18,0.0,0.014340618597659498,1.2567070507258838e-13,0.0,0.0
0.06,0.0,0.0,0.018,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,9.781008224968492e-16,2.951187501643354e-15,0.0011173825900612038,-1.0642547105418131e-13,1.1185182825227292e-13,0.04970390558700264,-1.0153031864033356e-13,1.8571559891112676e-15,1.3888640924939703e-11,-1.840097687173754e-13,6.7550717551622836e-12,2.927672928561384e-10,1.0,1.3888640924939703e-11,-1.8571559905213857e-15,-1.3888640924939703e-11,1.0,-1.0153031864030776e-13,1.8571559891112676e-15,1.0153031864033356e-13,1.0,14.659006633188469,-14.65900663318893,14.65900663318493,-14.659006633184468,14.675729095872244,-14.675729095873367,14.675729095873166,-14.675729095872102,5.159737142188423e-14,-5.624078868748925e-14,1.719091803774493,2.2972237440081762e-15,-1.9899172134099188e-14,0.0,2.220758136532975e-16,0.0,0.016882617409938794,1.3716683574452092e-13,0.0,0.0
0.07,0.0,0.0,0.021,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.5587530151015754e-16,4.125026360642222e-15,0.0016515554367057136,-1.0258067126327579e-13,5.497805064444929e-14,0.05708333462874493,-1.0324123286249716e-13,5.952426625159483e-14,1.6778749733057153e-11,-3.0648262761463688e-12,6.722722048677477e-12,2.6804745040352066e-10,1.0,1.6778749733057147e-11,-5.952426625332709e-14,-1.6778749733057153e-11,1.0,-1.0324123286149842e-13,5.952426625159483e-14,1.0324123286249716e-13,1.0,14.650289859566719,-14.65028985956888,14.650289859564747,-14.650289859562584,14.65948068570161,-14.659480685701581,14.659480685696737,-14.659480685696552,5.0131326995763625e-14,-2.899648873728365e-14,1.7170479437543562,1.0756151155892666e-14,-2.0562430614879028e-14,0.0,2.220764837754014e-16,0.0,0.01934844456329429,1.238978613922318e-13,0.0,0.0
0.08,0.0,0.0,0.024,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-1.1040474939770751e-15,4.580672090930644e-15,0.0022583927144424086,-1.2910364653348491e-14,6.36279151437132e-14,0.06424718334625551,-1.41618929078813e-13,1.400947586770715e-13,1.9429551154129065e-11,-3.7716507182995406e-12,3.8441316400032956e-12,2.5981801034075567e-10,1.0,1.9429551154129045e-11,-1.400947586798231e-13,-1.9429551154129065e-11,1.0,-1.4161892907609104e-13,1.400947586770715e-13,1.41618929078813e-13,1.0,14.641821457611636,-14.641821457614334,14.641821457611657,-14.641821457608959,14.648273149608071,-14.648273149610848,14.64827314960612,-14.648273149603577,6.877648315310456e-15,-3.3460797467472414e-14,1.7150634847726147,1.3409627541698841e-14,-1.3301494934855742e-14,0.0,2.3850222613856687e-18,0.0,0.02174160728555759,2.1090646625097785e-13,0.0,0.0
0.09,0.0,0.0,0.027000000000000003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-1.020215418641557e-15,5.329064896306386e-15,0.002936150426555768,6.876041953667944e-14,9.390599882226625e-14,0.07127043161206241,-1.7877430156645603e-13,1.7255650290590634e-13,2.200213538226994e-11,-3.700301126025203e-12,8.856453721493311e-13,2.4098636577815114e-10,1.0,2.2002135382269907e-11,-1.7255650290983974e-13,-2.200213538226994e-11,1.0,-1.787743015626594e-13,1.7255650290590634e-13,1.7877430156645603e-13,1.0,14.633464431318602,-14.63346443132138,14.633464431320343,-14.633464431317565,14.639023834897346,-14.6390238349003,14.639023834897955,-14.63902383489497,-3.314015573567949e-14,-4.865953905428328e-14,1.7131062501015373,1.3794224857729742e-14,-5.151656528799045e-15,0.0,1.6526044244323333e-18,0.0,0.024063849573444235,2.823989637467717e-13,0.0,0.0
